Surname,First name(s),Full name,Father's occupation,F occ grouping,Married surname,Husband's occupation,H occ grouping,Family Tree,Birthdate,Year of birth,Place of birth,Region of birth,Wikidata identifier of place,Country born,Grouped country born,Parental birthplace,Parental group,Religion,Date of death,Year of death,Place of death,Wikidata death,Region of death,Year of student registration,College,Col2,Region of College,First Qual,Group,Primary Qual,Other,1890 Location,Location 1900,Location 1905,Location 1907,Location 1908,Location 1910,Region 1910,Region 1915,Specialism,Position 1915,Region 1925,Specialism 1925,Position 1925,Missionary,India connection,China Connection,War experience,Type of war service,Obituary,Age at reg as a doctor,Age at death,Age at registration as a students,Length of study,Comments,(for Scots) Fees paid,Notes
Towers,Lydia Knight,Lydia Knight Towers,Medical Staff Captain,Medical,Kerr,Master printer,retail,Yes,,1883,Nova Scotia,canada,,Canada,Empire,Scotland/England,Scot/Engl,Presbyterian,,1977,London,,England,1902,EMCW,Edinburgh,Scotland,1907,Edinburgh,Edinburgh,,,,,,,Edinburgh,Scotland,,,,,,,,,,,,,24,94,19,5,,133.7,
Traill,Jeannie Hamilton,Jeannie Hamilton Traill,Presbyterian Minister,Minister,Cumming,Doctor,Medical,Yes,,1873,Jaipur,India,,India,India & Ceylon,Scotland,Scot/Scot,Presbyterian,,1948,Australia,,Australasia,1895,EMCW,Edinburgh,Scotland,1899,Edinburgh,Triple,,,,,Edinburgh,,,,Edinburgh,NS,NS,,,,,Born,,,,,26,75,22,4,,,
Tredway-Leonard,Margaret Olive,Margaret Olive Tredway-Leonard,"Hon. Aide-de-Camp, Lt Col",Army Officers,Gumprich,Merchant,Merchant,Yes,,1881,Bangalore,India,,India,India & Ceylon,Anglo-Indian,SA/SA,,,1957,Zimbabwe,,Africa,1900,EMCW,Edinburgh,Scotland,1906,Edinburgh,Edinburgh,,,,,,,Shikarpur,India,,,,,,,,"Born & worked, Bombay",,,,,25,76,19,6,,,
Turnbull,Janet (Nettie) Bell,Janet (Nettie) Bell Turnbull,Farmer,Farmer,,,,Yes,,1879,Ross-shire,Highlands & Islands,,Scotland,Scotland,Scotland,Scot/Scot,Presbyterian,,1929,Ipswich,,England,1900,EMCW,Edinburgh,Scotland,1906,Edinburgh,Edinburgh,,,,,Clapham,,London,London,Clapham,NS,MO Maternity Hospital,Clapham,NS,MO School for mothers,,,,,,,27,50,21,6,,92.8,
Turpie,Mary Murray McCalman,Mary Murray McCalman Turpie,Presbyterian Minister,Minister,,,,Yes,,1874,North Berwick,SE Scotland,,Scotland,Scotland,Scotland/England,Scot/Engl,Presbyterian,,1952,Haddington,,Scotland,1902,EMCW,Edinburgh,Scotland,1910,Edinburgh,Edinburgh,,,,,,,CP,India,c/o Edinburgh,NS,NS,c/o Edinburgh,NS,NS,CoSM,"Worked, CP",,,,,36,78,28,8,Also worked in S Africa,93.9,
Twigge,Caroline,Caroline Twigge,Merchant,Retail,Matthews,Surgeon,Medical,Yes,,1877,Liverpool,NW England,,England,England,England,Eng/Eng,Anglican,,1927,London,,England,1898,EMCW,Edinburgh,Scotland,1903,Edinburgh,Edinburgh,,,,,,,,,,,,,,,,,,,,46569,26,50,21,5,,,
Urquhart,Annie Davidson,Annie Davidson Urquhart,Solicitor,"Legal, accounts,para-legal",Young,Doctor,Medical,Yes,,1882,Edinburgh,SE Scotland,Q23436,Scotland,Scotland,Scotland,Scot/Scot,,,1974,Edinburgh,,Scotland,1901,EMCW,Edinburgh,Scotland,1906,Edinburgh,Edinburgh,,,,,Morpeth,,Bearsden,Glasgow,Dumbartonshire,NS,NS,,,,,,,,,Winter 1975,24,92,19,5,,,
van Dort,Claribel Frances,Claribel Frances van Dort,Doctor,Medical,Spittel,Doctor,Medical,Yes,,1876,Colombo,Ceylon,,Ceylon,India & Ceylon,Anglo-Ceylonese,SA/SA,Presbyterian,,A1942,Ceylon,,S Asia,1896,EMCW,Edinburgh,Scotland,1907,Edinburgh,Triple,,,,,,,Colombo,Ceylon,,,,,,,,"Born & worked, Ceylon",,,,4th Ceylon woman doctor,31,#VALUE!,20,11,,,
Venters,Anne Low,Anne Low Venters,Inland Revenue Excise Officer,Government official,Horne,Farmer,Farmer,Yes,,1875,Renfrewshire,West of Scotland,,Scotland,Scotland,Scotland,Scot/Scot,,,1930,Orkney,,Scotland,1895,EMCW,Edinburgh,Scotland,1902,Edinburgh,Triple,,,,,Orkney,,,,Orkney,NS,NS,,,,,,,,,,27,55,20,7,Anne Low and Isabella Venters were sisters,,
Venters,Isabella Beattie,Isabella Beattie Venters,Inland Revenue Excise Officer,Government official,,,,Yes,,1869,Blairgowrie,Central Scotland,,Scotland,Scotland,Scotland,Scot/Scot,,,1940,Stirlingshire,,Scotland,1890,ESMW,Edinburgh,Scotland,1897,Edinburgh,Triple,,,,,,,,,Edinburgh,Surgeon & Gynaecologist,EHWC,,,,,,,,,14702,28,71,21,7,Anne Low and Isabella Venters were sisters,,
Vickers,Helen Randall,Helen Randall Vickers,Oil refiner & Merchant,Merchant,Hadden,Doctor,Medical,,,1880,Leeds,NE England,,England,England,England,Eng/Eng,Non-conformist,,1983,Wexford,,Ireland,1898,EMCW,Edinburgh,Scotland,1905,Edinburgh,Edinburgh,,,,,China,,,,,,,,,,Wesleyan,Daughter born in HP,"Worked, Hunan",,,,25,103,18,7,,,
Wakefield,Frances Margaret,Frances Margaret Wakefield,"Banker, JP",Official,,,,Yes,,1879,Kendal,NW England,,England,England,England,Eng/Eng,Anglican,,1970,Bedfordshire,,England,1899,EMCW,Edinburgh,Scotland,1905,Edinburgh,Edinburgh,,,,,Nigeria,,,,,,,,,,,,,Kraguievatz 1-Dec-14 1-Jun-15,SWHFS,,26,91,20,6,,,
Wakefield,Helen M'Gregor,Helen M'Gregor Wakefield,Bank manager,Official,Walker,Engineer,Engineer,Yes,,1878,St Vincent,West Indies,,West Indies,Empire,England/NK,Eng/NK,Anglican,,1979,London,,England,1902,EMCW,Edinburgh,Scotland,1908,Edinburgh,Edinburgh,,,,,,,St Kitts,WI,,,,,,,,,,,,,30,101,24,6,,99.15,
Walker,Mary Broadfoot,Mary Broadfoot Walker,Solicitor,"Legal, accounts,para-legal",,,,Yes,,1888,Wigtownshire,SW Scotland,,Scotland,Scotland,Scotland,Scot/Scot,,,1974,Wigtown,,Scotland,1906,EMCW & Glasgow,Edinburgh,Scotland,1913,Edinburgh,Edinburgh,,,,,,,,,Wigtonshire,NS,NS,,,,,,,RAMC Salonika; Malta,Malta,,25,86,18,7,,,
Wall,Kathleen Gladys,Kathleen Gladys Wall,Burma civil service,Government official,Ferguson,University teacher,Teacher,Yes,,1888,Burma,India,,India,India & Ceylon,Anglo-Indian/Burmese,SA/SA,anglican,,A1925,,,,1906,"Calcutta, RCSI & ESMW",Edinburgh,Scotland,1913,Edinburgh,Triple,,,,,,,,,,,,,,,,"Born & worked, Burma",,,,,25,#VALUE!,18,7,"Calcutta 1906, UK 1909",,
Wallace,Mildred Jane,Mildred Jane Wallace,"Merchant, later farmer",Farmer,Croskery,Presbyterian Minister,Minister,Yes,,1866,Pittsburg,USA,,USA,Other,Ireland,Ir/Ir,Presbyterian,,1952,Belfast,,Ireland,1892,ESMW,Edinburgh,Scotland,1896,Edinburgh,Triple,,,,,,,,Belfast,NS,NS,NS,Tunbridge Wells,NS,NS,No,,,,,,30,86,26,4,,,
Walton,Janet Park,Janet Park Walton,Free Church Minister,Minister,Smyth,Doctor,Medical,Yes,,1890,Dundee,Central Scotland,Q123709,Scotland,Scotland,Scotland/England,Scot/Engl,Presbyterian,,1974,Kent,,England,1909,ESMW,Edinburgh,Scotland,1914,Edinburgh,Edinburgh,,,,,,,,,Yorkshire,NS,RMO York Dispensary,,,,,,,Malta,Malta,,24,84,19,5,,57.15,
Ward,Gladys,Gladys Ward,Inland Revenue Officer,Official,,,,Yes,27-11-1891,1891,"Cranbrook, Kent",SE England,,England,England,English,Eng/Eng,,,,,,,1911,Edinburgh,Edinburgh,Scotland,1916,Edinburgh,Edinburgh,,,,,,,,,,,,London,Obstetrics,NS,,,,SWHFS,,,25,-1891,20,,,,
Watson,Annie Mercer,Annie Mercer Watson,Paper manufacturer,Manufacturer,,,,Yes,,1862,Edinburgh,SE Scotland,Q23436,Scotland,Scotland,Scotland,Scot/Scot,,,1938,Edinburgh,,Scotland,1894,Dundee & EMCW,Edinburgh,Scotland,1899,Edinburgh,Triple,,,,Aberdeen,Aberdeen,,Aberdeen,Scotland,Aberdeen,NS,"VMO, MO",,,,,,,RAMC Auxiliary,,14062,37,76,32,5,,,
Watson,Isabella Anne,Isabella Anne Watson,Doctor,Medical,Crosby,Doctor,Medical,Yes,,1874,Mid Calder,SE Scotland,,Scotland,Scotland,Scotland,Scot/Scot,Presbyterian,,1962,New Zealand,,Australasia,1894,EMCW,Edinburgh,Scotland,1900,Edinburgh,Triple,,,,,Edinburgh,,New Zealand,New Zealand,,,,,,,,,,,,,26,88,20,6,Brother married Mona Geddes,,
Watson,Mary Hamilton,Mary Hamilton Watson,Free Church Minister,Minister,Grigsby,Advertising Inspector,Official,Yes,,1877,Shetland,Highlands & Islands,,Scotland,Scotland,Scotland,Scot/Scot,Presbyterian,,1974,Portsmouth,,England,1895,EMCW,Edinburgh,Scotland,1902,Edinburgh,Triple,,,,Portsmouth,Portsmouth,,,,,,,,,,,,,,,,25,97,18,7,,,
Webb,Martha Beatrice,Martha Beatrice Webb,Quarry manager,Commerce,,,,Yes,,1863,Cheshire,NW England,,England,England,England,Eng/Eng,Methodist,,1951,Birmingham,,England,1902,Birmingham & EMCW,Edinburgh,Scotland,1907,Edinburgh,Edinburgh,,,,,,,,,,,,,,,,,,,,18719,44,88,39,5,,,
White,Addie or ?Ada Elizabeth,Addie or ?Ada Elizabeth White,Clerk,Official,Kerr,Railways,Official,Yes,4 July 1874,1874,Calcutta,India,Q1348,India,India & Ceylon,Anglo-Indian/NK,SA/NK,Catholic,,1969,Essex,,England,1891,Calcutta & EMCW,Edinburgh,Scotland,1899,Edinburgh,Edinburgh,,,,,,,,,,,,,,,,Born & Started training in Calcutta,,,,,25,95,17,8,,,
Wilkes,Lilian Sarah,Lilian Sarah Wilkes,Solicitor,"Legal, accounts,para-legal",Macintyre,Doctor,Medical,,,1888,Darlington,North of England,,England,England,England,Eng/Eng,Anglican,,1978,Liverpool,,England,1907,EMCW,Edinburgh,Scotland,1914,Edinburgh,Triple,,,,,,,Darlington,England,,,,,,,,,,,,,26,90,19,7,,,
Wilkie,Elsie May Bowman,Elsie May Bowman Wilkie,Linen Manufacturer,Manufacturer,,,,Yes,,1880,Kirriemuir,Central Scotland,,Scotland,Scotland,Scotland,Scot/Scot,Presbyterian,,1912,Naples,,Europe,1900,EMCW,Edinburgh,Scotland,1905,Edinburgh,Edinburgh,,,,,Kirriemuir,,,,,,,,,,,,,,,,25,32,20,5,,,
Wilkinson,Ada,Ada Wilkinson,Farmer,Farmer,McLaren,Doctor,Medical,Yes,,1869,Chertsey,NZ,,New Zealand,Empire,England,Eng/Eng,Anglican,,1951,London,,England,1895,EMCW,Edinburgh,Scotland,1902,Edinburgh,Edinburgh,,,,,Natal,,Essex,England,,,,,,,,,,Malta,Malta,,33,82,26,7,,,
Williamson,Gladys Richarda May Violet,Gladys Richarda May Violet Williamson,Major,Army,,,,Yes,1-5-1888,1888,Heaton Chapel,NW England,,England,England,Irish/English,Ir/Eng,,19/09/1958,1958,New Orleans,,USA,1911,Edinburgh,Edinburgh,Scotland,1916,Edinburgh,Edinburgh,,,,,,,,,,,,New Orleans,NS,NS,,Sister born in India,,,,,28,70,23,,,,
Wilson,Marian Elizabeth,Marian Elizabeth Wilson,Free Church Minister,Minister,,,,Yes,,1881,Perthshire,Central Scotland,,Scotland,Scotland,Scotland,Scot/Scot,Presbyterian,,1917,"Royaumont, France",,Europe,1900,EMCW,Edinburgh,Scotland,1906,Edinburgh,Edinburgh,,,,,Barrow,,,,,,,,,,EMMS,,,Royaumont 1-Nov-15 1-Jul-17 ( Died August 1917),SWHFS,,25,36,19,6,,92.8,
Wilson,Mary Bowman,Mary Bowman Wilson,Farmer,Farmer,Macdonald,Presbyterian Minister,Minister,Yes,,1874,Ayrshire,SW Scotland,,Scotland,Scotland,Scotland,Scot/Scot,Presbyterian,,1963,Edinburgh,,Scotland,1892,EMCW,Edinburgh,Scotland,1897,Edinburgh,Triple,,,,,"Stonehouse, Scotland",,,,Perth,NS,NS,Lesmahagow,NS,Retired,No,,,,,,23,89,18,5,,,
Wilson,Mary Ruth,Mary Ruth Wilson,"Gold & Silver Refiner, Alderman",Commerce,,,,Yes,,1864,Sheffield,NE England,,England,England,England,Eng/Eng,Congregational,,1946,Hull,,England,1895,EMCW,Edinburgh,Scotland,1902,Edinburgh,Edinburgh,,,,,Loughton,,Sheffield,England,,,,,,,,,,,,,38,82,31,7,,,
Wiseman,Ethel,Ethel Wiseman,Civil Engineer,Engineer,Cassie,,,Yes,,1882,Dalhousie,India,,India,India & Ceylon,England/Anglo-Indian,Eng/SA,,,1955,Oxford,,England,1901,EMCW,Edinburgh,Scotland,1906,Edinburgh,Edinburgh,,,,,,,,,,,,,,,,Born,,,,,24,73,19,5,,,
Wood,Frances 'Fanny',Frances 'Fanny' Wood,Farmer,Farmer,Gibbens,Missionary,Minister,Yes,,1873,Co. Kerry,Munster,,Ireland,Ireland,Ireland,Ir/Ir,Methodist,,1955,Stafford,,England,1895,ESMW,Edinburgh,Scotland,1900,Edinburgh,Triple,,,,,,,N Arcot,India,,,,,,,Wesleyan,"Worked, Madras",,,,,27,82,22,5,,,
Wright,Margaret Kirk Jolly,Margaret Kirk Jolly Wright,Woollen yarn manufacturer,,,,,Yes,30 Aug 1892,1892,Selkirk,SE Scotland,,Scotland,Scotland,Scottish,Sco/Sco,,24-Sep-65,1965,Edinburgh,,SE Scotland,,Edinburgh,Edinburgh,Scotland,1915,Edinburgh,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Young,Margaret Campbell Wylde,Margaret Campbell Wylde Young,Civil Engineer,Engineer,,,,Yes,,1878,Edinburgh,SE Scotland,Q23436,Scotland,Scotland,Scotland/Canadian,Scot/Oth,,,1919,Edinburgh,,Scotland,1899,EMCW,Edinburgh,Scotland,1904,Edinburgh,Edinburgh,,,,,,,Edinburgh,Edinburgh,Edinburgh,NS,NS,Dead,Dead,Dead,,,,,,,26,41,21,5,,,
Young,Margaret Chapel,Margaret Chapel Young,Bank agent,Official,Brønnum,Medical missionary,Medical and Minister,Yes,,1886,Alloa,Central Scotland,Q1009331,Scotland,Scotland,Scotland,Scot/Scot,Presbyterian,,1913,Nigeria,,Africa,1904,EMCW,Edinburgh,Scotland,1909,Edinburgh,Edinburgh,,,,,Edinburgh,,,,,,,,,,,,,,,,23,27,18,5,,109.4,
